DataSet,split,hybrid,Accuracy,Precision,Recall,F1-Score,AUC,MCC,ErrorTipoI,ErrorTipoII,MatrixConfusion
aer.csv_patrones,gini,False,0.7765,0.7765,1.0,0.8742,0.5,0.0,1.0,0.0,"[[0, 59], [0, 205]]"
aer.csv_arbol,gini,False,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
aer.csv_patrones,gini,True,0.7765,0.7765,1.0,0.8742,0.5,0.0,1.0,0.0,"[[0, 59], [0, 205]]"
aer.csv_arbol,gini,True,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
aer.csv_patrones,twoing,False,0.7765,0.7765,1.0,0.8742,0.5,0.0,1.0,0.0,"[[0, 59], [0, 205]]"
aer.csv_arbol,twoing,False,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
aer.csv_patrones,entropy,False,0.7765,0.7765,1.0,0.8742,0.5,0.0,1.0,0.0,"[[0, 59], [0, 205]]"
aer.csv_arbol,entropy,False,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
aer.csv_patrones,entropy,True,0.7765,0.7765,1.0,0.8742,0.5,0.0,1.0,0.0,"[[0, 59], [0, 205]]"
aer.csv_arbol,entropy,True,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
australian.csv_patrones,gini,False,0.8188,0.7812,0.8197,0.8,0.8189,0.6352,0.1818,0.1803,"[[63, 14], [11, 50]]"
australian.csv_arbol,gini,False,0.8188,0.7812,0.8197,0.8,0.8189,0.6352,0.1818,0.1803,"[[63, 14], [11, 50]]"
australian.csv_patrones,gini,True,0.8188,0.7812,0.8197,0.8,0.8189,0.6352,0.1818,0.1803,"[[63, 14], [11, 50]]"
australian.csv_arbol,gini,True,0.8188,0.7812,0.8197,0.8,0.8189,0.6352,0.1818,0.1803,"[[63, 14], [11, 50]]"
australian.csv_patrones,twoing,False,0.8188,0.7812,0.8197,0.8,0.8189,0.6352,0.1818,0.1803,"[[63, 14], [11, 50]]"
australian.csv_arbol,twoing,False,0.8188,0.7812,0.8197,0.8,0.8189,0.6352,0.1818,0.1803,"[[63, 14], [11, 50]]"
australian.csv_patrones,entropy,False,0.8116,0.7778,0.8033,0.7903,0.8107,0.6196,0.1818,0.1967,"[[63, 14], [12, 49]]"
australian.csv_arbol,entropy,False,0.8116,0.7778,0.8033,0.7903,0.8107,0.6196,0.1818,0.1967,"[[63, 14], [12, 49]]"
australian.csv_patrones,entropy,True,0.8261,0.8364,0.7541,0.7931,0.8186,0.6464,0.1169,0.2459,"[[68, 9], [15, 46]]"
australian.csv_arbol,entropy,True,0.8261,0.8364,0.7541,0.7931,0.8186,0.6464,0.1169,0.2459,"[[68, 9], [15, 46]]"
crx.csv_patrones,gini,False,0.8841,0.8571,0.8852,0.871,0.8842,0.7661,0.1169,0.1148,"[[68, 9], [7, 54]]"
crx.csv_arbol,gini,False,0.8841,0.8462,0.9016,0.873,0.8859,0.7679,0.1299,0.0984,"[[67, 10], [6, 55]]"
crx.csv_patrones,gini,True,0.8841,0.8571,0.8852,0.871,0.8842,0.7661,0.1169,0.1148,"[[68, 9], [7, 54]]"
crx.csv_arbol,gini,True,0.8841,0.8462,0.9016,0.873,0.8859,0.7679,0.1299,0.0984,"[[67, 10], [6, 55]]"
crx.csv_patrones,twoing,False,0.8841,0.8571,0.8852,0.871,0.8842,0.7661,0.1169,0.1148,"[[68, 9], [7, 54]]"
crx.csv_arbol,twoing,False,0.8841,0.8462,0.9016,0.873,0.8859,0.7679,0.1299,0.0984,"[[67, 10], [6, 55]]"
crx.csv_patrones,entropy,False,0.9058,0.8529,0.9508,0.8992,0.9105,0.8155,0.1299,0.0492,"[[67, 10], [3, 58]]"
crx.csv_arbol,entropy,False,0.9058,0.8529,0.9508,0.8992,0.9105,0.8155,0.1299,0.0492,"[[67, 10], [3, 58]]"
crx.csv_patrones,entropy,True,0.8841,0.8571,0.8852,0.871,0.8842,0.7661,0.1169,0.1148,"[[68, 9], [7, 54]]"
crx.csv_arbol,entropy,True,0.8841,0.8462,0.9016,0.873,0.8859,0.7679,0.1299,0.0984,"[[67, 10], [6, 55]]"
data-eiz-categorica.csv_patrones,gini,False,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_arbol,gini,False,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_patrones,gini,True,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_arbol,gini,True,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_patrones,twoing,False,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_arbol,twoing,False,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_patrones,entropy,False,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_arbol,entropy,False,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_patrones,entropy,True,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
data-eiz-categorica.csv_arbol,entropy,True,0.7205,0.7091,0.8834,0.7867,0.6879,0.4157,0.5076,0.1166,"[[226, 233], [75, 568]]"
default+of+credit+card+clients.csv_patrones,gini,False,0.825,0.8452,0.9491,0.8942,0.6686,0.4224,0.6119,0.0509,"[[515, 812], [238, 4435]]"
default+of+credit+card+clients.csv_arbol,gini,False,0.825,0.8452,0.9491,0.8942,0.6686,0.4224,0.6119,0.0509,"[[515, 812], [238, 4435]]"
default+of+credit+card+clients.csv_patrones,gini,True,0.825,0.8452,0.9491,0.8942,0.6686,0.4224,0.6119,0.0509,"[[515, 812], [238, 4435]]"
default+of+credit+card+clients.csv_arbol,gini,True,0.825,0.8452,0.9491,0.8942,0.6686,0.4224,0.6119,0.0509,"[[515, 812], [238, 4435]]"
default+of+credit+card+clients.csv_patrones,twoing,False,0.825,0.8452,0.9491,0.8942,0.6686,0.4224,0.6119,0.0509,"[[515, 812], [238, 4435]]"
default+of+credit+card+clients.csv_arbol,twoing,False,0.825,0.8452,0.9491,0.8942,0.6686,0.4224,0.6119,0.0509,"[[515, 812], [238, 4435]]"
default+of+credit+card+clients.csv_patrones,entropy,False,0.8237,0.842,0.9523,0.8938,0.6615,0.4138,0.6292,0.0477,"[[492, 835], [223, 4450]]"
default+of+credit+card+clients.csv_arbol,entropy,False,0.8237,0.842,0.9523,0.8938,0.6615,0.4138,0.6292,0.0477,"[[492, 835], [223, 4450]]"
default+of+credit+card+clients.csv_patrones,entropy,True,0.8238,0.842,0.9525,0.8939,0.6616,0.4143,0.6292,0.0475,"[[492, 835], [222, 4451]]"
default+of+credit+card+clients.csv_arbol,entropy,True,0.8238,0.842,0.9525,0.8939,0.6616,0.4143,0.6292,0.0475,"[[492, 835], [222, 4451]]"
german.csv_patrones,gini,False,0.69,0.8047,0.7357,0.7687,0.6595,0.3046,0.4167,0.2643,"[[35, 25], [37, 103]]"
german.csv_arbol,gini,False,0.69,0.8047,0.7357,0.7687,0.6595,0.3046,0.4167,0.2643,"[[35, 25], [37, 103]]"
german.csv_patrones,gini,True,0.69,0.8047,0.7357,0.7687,0.6595,0.3046,0.4167,0.2643,"[[35, 25], [37, 103]]"
german.csv_arbol,gini,True,0.69,0.8047,0.7357,0.7687,0.6595,0.3046,0.4167,0.2643,"[[35, 25], [37, 103]]"
german.csv_patrones,twoing,False,0.69,0.8047,0.7357,0.7687,0.6595,0.3046,0.4167,0.2643,"[[35, 25], [37, 103]]"
german.csv_arbol,twoing,False,0.69,0.8047,0.7357,0.7687,0.6595,0.3046,0.4167,0.2643,"[[35, 25], [37, 103]]"
german.csv_patrones,entropy,False,0.685,0.773,0.7786,0.7758,0.6226,0.2464,0.5333,0.2214,"[[28, 32], [31, 109]]"
german.csv_arbol,entropy,False,0.685,0.773,0.7786,0.7758,0.6226,0.2464,0.5333,0.2214,"[[28, 32], [31, 109]]"
german.csv_patrones,entropy,True,0.67,0.7721,0.75,0.7609,0.6167,0.2292,0.5167,0.25,"[[29, 31], [35, 105]]"
german.csv_arbol,entropy,True,0.67,0.7721,0.75,0.7609,0.6167,0.2292,0.5167,0.25,"[[29, 31], [35, 105]]"
gmsc.csv_patrones,gini,False,0.9331,0.5653,0.158,0.247,0.5745,0.2744,0.0091,0.842,"[[22180, 203], [1407, 264]]"
gmsc.csv_arbol,gini,False,0.9331,0.5653,0.158,0.247,0.5745,0.2744,0.0091,0.842,"[[22180, 203], [1407, 264]]"
gmsc.csv_patrones,gini,True,0.9331,0.5653,0.158,0.247,0.5745,0.2744,0.0091,0.842,"[[22180, 203], [1407, 264]]"
gmsc.csv_arbol,gini,True,0.9331,0.5653,0.158,0.247,0.5745,0.2744,0.0091,0.842,"[[22180, 203], [1407, 264]]"
gmsc.csv_patrones,twoing,False,0.9331,0.5653,0.158,0.247,0.5745,0.2744,0.0091,0.842,"[[22180, 203], [1407, 264]]"
