DataSet,split,hybrid,Accuracy,Precision,Recall,F1-Score,AUC,MCC,ErrorTipoI,ErrorTipoII,MatrixConfusion
aer.csv,gini,True,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
aer.csv,entropy,True,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
australian.csv,gini,True,0.8406,0.8095,0.8361,0.8226,0.8401,0.6782,0.1558,0.1639,"[[65, 12], [10, 51]]"
australian.csv,entropy,True,0.8116,0.7778,0.8033,0.7903,0.8107,0.6196,0.1818,0.1967,"[[63, 14], [12, 49]]"
crx.csv,gini,True,0.8768,0.8667,0.8525,0.8595,0.8743,0.7499,0.1039,0.1475,"[[69, 8], [9, 52]]"
crx.csv,entropy,True,0.8768,0.8548,0.8689,0.8618,0.876,0.7508,0.1169,0.1311,"[[68, 9], [8, 53]]"
data-eiz-categorica.csv,gini,True,0.6534,0.681,0.7636,0.7199,0.6313,0.2721,0.5011,0.2364,"[[229, 230], [152, 491]]"
data-eiz-categorica.csv,entropy,True,0.7096,0.7451,0.7636,0.7542,0.6988,0.3998,0.366,0.2364,"[[291, 168], [152, 491]]"
default+of+credit+card+clients.csv,gini,True,0.7713,0.873,0.8267,0.8492,0.7016,0.3803,0.4235,0.1733,"[[765, 562], [810, 3863]]"
default+of+credit+card+clients.csv,entropy,True,0.7713,0.873,0.8267,0.8492,0.7016,0.3803,0.4235,0.1733,"[[765, 562], [810, 3863]]"
german.csv,gini,True,0.69,0.7566,0.8214,0.7877,0.6024,0.2197,0.6167,0.1786,"[[23, 37], [25, 115]]"
german.csv,entropy,True,0.695,0.7801,0.7857,0.7829,0.6345,0.2704,0.5167,0.2143,"[[29, 31], [30, 110]]"
gmsc.csv,gini,True,0.7724,0.1925,0.7127,0.3032,0.7448,0.2848,0.2232,0.2873,"[[17388, 4995], [480, 1191]]"
gmsc.csv,entropy,True,0.7724,0.1925,0.7127,0.3032,0.7448,0.2848,0.2232,0.2873,"[[17388, 4995], [480, 1191]]"
heloc.csv,gini,True,0.7122,0.699,0.699,0.699,0.7117,0.4234,0.2756,0.301,"[[791, 301], [301, 699]]"
heloc.csv,entropy,True,0.7122,0.699,0.699,0.699,0.7117,0.4234,0.2756,0.301,"[[791, 301], [301, 699]]"
loan_data_set.csv,gini,True,0.6354,0.7183,0.7727,0.7445,0.553,0.112,0.6667,0.2273,"[[10, 20], [15, 51]]"
loan_data_set.csv,entropy,True,0.6354,0.7183,0.7727,0.7445,0.553,0.112,0.6667,0.2273,"[[10, 20], [15, 51]]"
newhmeq.csv,gini,True,0.7073,0.937,0.7276,0.8191,0.6138,0.1425,0.5,0.2724,"[[30, 30], [167, 446]]"
newhmeq.csv,entropy,True,0.7073,0.937,0.7276,0.8191,0.6138,0.1425,0.5,0.2724,"[[30, 30], [167, 446]]"
ppdaiData.csv,gini,True,0.6281,0.8805,0.6628,0.7563,0.5283,0.04,0.6061,0.3372,"[[566, 871], [3265, 6418]]"
ppdaiData.csv,entropy,True,0.6281,0.8805,0.6628,0.7563,0.5283,0.04,0.6061,0.3372,"[[566, 871], [3265, 6418]]"
